,0,1,2,3,4,5
72,2019-04-01 00:00:27.435,1.57782,1.57813,0.0,0.0,4
73,2019-04-01 00:00:27.737,1.5778400000000001,1.5781399999999999,0.0,0.0,134
74,2019-04-01 00:00:28.582,1.5778400000000001,1.57815,0.0,0.0,4
75,2019-04-01 00:00:30.034,1.57783,1.57815,0.0,0.0,130
76,2019-04-01 00:00:30.161,1.57783,1.57816,0.0,0.0,4
77,2019-04-01 00:00:30.220,1.57785,1.57817,0.0,0.0,134
78,2019-04-01 00:00:30.282,1.57792,1.5782,0.0,0.0,134
79,2019-04-01 00:00:30.347,1.57794,1.57821,0.0,0.0,134
80,2019-04-01 00:00:30.412,1.57803,1.57826,0.0,0.0,134
81,2019-04-01 00:00:30.465,1.57803,1.5783399999999999,0.0,0.0,4
82,2019-04-01 00:00:30.528,1.57802,1.57828,0.0,0.0,134
83,2019-04-01 00:00:30.583,1.5779100000000001,1.57817,0.0,0.0,134
84,2019-04-01 00:00:30.635,1.57786,1.57817,0.0,0.0,130
85,2019-04-01 00:00:30.759,1.57786,1.5781399999999999,0.0,0.0,4
86,2019-04-01 00:00:30.917,1.57783,1.5781399999999999,0.0,0.0,130
87,2019-04-01 00:00:31.258,1.57782,1.5781399999999999,0.0,0.0,130
88,2019-04-01 00:00:31.860,1.57783,1.5781399999999999,0.0,0.0,130
89,2019-04-01 00:00:32.355,1.5778400000000001,1.5781399999999999,0.0,0.0,130
90,2019-04-01 00:00:32.979,1.5778400000000001,1.57815,0.0,0.0,4
91,2019-04-01 00:00:33.144,1.57785,1.57815,0.0,0.0,130
92,2019-04-01 00:00:33.229,1.57785,1.57812,0.0,0.0,4
93,2019-04-01 00:00:33.882,1.57786,1.57812,0.0,0.0,130
94,2019-04-01 00:00:33.954,1.57786,1.57813,0.0,0.0,4
95,2019-04-01 00:00:34.052,1.57786,1.57815,0.0,0.0,4
96,2019-04-01 00:00:34.151,1.57786,1.57816,0.0,0.0,4
97,2019-04-01 00:00:35.914,1.57788,1.57816,0.0,0.0,130
98,2019-04-01 00:00:36.011,1.57788,1.57815,0.0,0.0,4
99,2019-04-01 00:00:36.394,1.57785,1.57815,0.0,0.0,130
